Timestamp,Local time,Battery Level,Battery Percent,Wireless Signal,Overall Quality,Quality Sensor 0,Quality Sensor 1,Quality Sensor 2,Quality Sensor 3,Quality Sensor 4
"1749332970.5867","14:49:30.586","3","68","1.0","75","4","4","4","1","4"
"1749332971.0863","14:49:31.086","3","68","1.0","75","4","4","4","1","4"
"1749332971.5861","14:49:31.586","3","68","1.0","75","4","4","4","1","4"
"1749332972.0862","14:49:32.086","3","68","1.0","75","4","4","4","1","4"
"1749332972.5854","14:49:32.585","3","68","1.0","75","4","4","4","1","4"
"1749332973.0852","14:49:33.085","3","68","1.0","75","4","4","4","1","4"
"1749332973.5855","14:49:33.585","3","68","1.0","75","4","4","4","1","4"
"1749332974.0855","14:49:34.085","3","68","1.0","75","4","4","4","1","4"
"1749332974.5853","14:49:34.585","3","68","1.0","67","4","4","4","0","4"
"1749332975.0856","14:49:35.085","3","68","1.0","75","4","4","4","1","4"
"1749332975.5849","14:49:35.584","3","68","1.0","67","4","4","4","0","4"
"1749332976.0843","14:49:36.084","3","68","1.0","75","4","4","4","1","4"
"1749332976.5846","14:49:36.584","3","68","1.0","75","4","4","4","1","4"
"1749332977.0844","14:49:37.084","3","68","1.0","67","4","4","4","0","4"
"1749332977.5838","14:49:37.583","3","68","1.0","75","4","4","4","1","4"
"1749332978.084","14:49:38.084","3","68","1.0","75","4","4","4","1","4"
"1749332978.5839","14:49:38.583","3","68","1.0","75","4","4","4","1","4"
"1749332979.0833","14:49:39.083","3","68","1.0","75","4","4","4","1","4"
"1749332979.5834","14:49:39.583","3","68","1.0","75","4","4","4","1","4"
"1749332980.0834","14:49:40.083","3","68","1.0","75","4","4","4","1","4"
"1749332980.583","14:49:40.583","3","68","1.0","75","4","4","4","1","4"
"1749332981.0829","14:49:41.082","3","68","1.0","75","4","4","4","1","4"
"1749332981.5828","14:49:41.582","3","68","1.0","75","4","4","4","1","4"
"1749332982.0826","14:49:42.082","3","68","1.0","75","4","4","4","1","4"
"1749332982.5827","14:49:42.582","3","68","1.0","75","4","4","4","1","4"
"1749332983.0829","14:49:43.082","3","68","1.0","75","4","4","4","1","4"
"1749332983.5822","14:49:43.582","3","68","1.0","75","4","4","4","1","4"
"1749332984.0819","14:49:44.081","3","68","1.0","75","4","4","4","1","4"
"1749332984.5821","14:49:44.582","3","68","1.0","75","4","4","4","1","4"
"1749332985.0818","14:49:45.081","3","68","1.0","75","4","4","4","1","4"
"1749332985.5815","14:49:45.581","3","68","1.0","75","4","4","4","1","4"
"1749332986.0817","14:49:46.081","3","68","1.0","75","4","4","4","1","4"
"1749332986.5811","14:49:46.581","3","68","1.0","75","4","4","4","1","4"
"1749332987.081","14:49:47.081","3","68","1.0","75","4","4","4","1","4"
"1749332987.5812","14:49:47.581","3","68","1.0","75","4","4","4","1","4"
"1749332988.0806","14:49:48.080","3","68","1.0","75","4","4","4","1","4"
"1749332988.5801","14:49:48.580","3","68","1.0","75","4","4","4","1","4"
"1749332989.0803","14:49:49.080","3","68","1.0","75","4","4","4","1","4"
"1749332989.5799","14:49:49.579","3","68","1.0","75","4","4","4","1","4"
"1749332990.0798","14:49:50.079","3","68","1.0","75","4","4","4","1","4"
"1749332990.58","14:49:50.580","3","68","1.0","75","4","4","4","1","4"
"1749332991.0798","14:49:51.079","3","68","1.0","75","4","4","4","1","4"
"1749332991.5793","14:49:51.579","3","68","1.0","75","4","4","4","1","4"
"1749332992.0795","14:49:52.079","3","68","1.0","75","4","4","4","1","4"
"1749332992.5789","14:49:52.578","3","68","1.0","75","4","4","4","1","4"
"1749332993.0784","14:49:53.078","3","68","1.0","75","4","4","4","1","4"
"1749332993.5788","14:49:53.578","3","68","1.0","75","4","4","4","1","4"
"1749332994.0786","14:49:54.078","3","68","1.0","75","4","4","4","1","4"
"1749332994.5781","14:49:54.578","3","68","1.0","75","4","4","4","1","4"
"1749332995.0783","14:49:55.078","3","68","1.0","75","4","4","4","1","4"
"1749332995.5779","14:49:55.577","3","68","1.0","75","4","4","4","1","4"
"1749332996.0776","14:49:56.077","3","68","1.0","75","4","4","4","1","4"
"1749332996.5776","14:49:56.577","3","68","1.0","75","4","4","4","1","4"
"1749332997.0778","14:49:57.077","3","68","1.0","75","4","4","4","1","4"
"1749332997.5773","14:49:57.577","3","68","1.0","75","4","4","4","1","4"
"1749332998.0773","14:49:58.077","3","68","1.0","83","4","4","4","2","4"
"1749332998.5776","14:49:58.577","3","68","1.0","75","4","4","4","1","4"
"1749332999.077","14:49:59.077","3","68","1.0","83","4","4","4","2","4"
"1749332999.577","14:49:59.577","3","68","1.0","75","4","4","4","1","4"
