Timestamp,Local time,Action Eye,Action Upper Face,Power Upper Face,Action Lower Face,Power Lower Face
1749333533.5233,14:58:53.523,neutral,frown,0.054636,neutral,0.0
1749333533.5546,14:58:53.554,neutral,frown,0.054636,neutral,0.0
1749333533.5859,14:58:53.585,blink,frown,0.054636,neutral,0.0
1749333533.6173,14:58:53.617,blink,frown,0.054636,neutral,0.0
1749333533.6486,14:58:53.648,blink,frown,0.028027,neutral,0.0
1749333533.6798,14:58:53.679,blink,frown,0.028027,neutral,0.0
1749333533.7109,14:58:53.710,blink,frown,0.028027,neutral,0.0
1749333533.742,14:58:53.742,neutral,frown,0.028027,neutral,0.0
1749333533.7732,14:58:53.773,neutral,frown,0.027739,neutral,0.0
1749333533.8043,14:58:53.804,neutral,frown,0.027739,neutral,0.0
1749333533.8355,14:58:53.835,neutral,frown,0.027739,neutral,0.0
1749333533.8666,14:58:53.866,neutral,frown,0.027739,neutral,0.0
1749333533.8977,14:58:53.897,neutral,frown,0.036073,neutral,0.0
1749333533.9291,14:58:53.929,neutral,frown,0.036073,neutral,0.0
1749333533.9604,14:58:53.960,neutral,frown,0.036073,neutral,0.0
1749333533.9918,14:58:53.991,neutral,frown,0.036073,neutral,0.0
1749333534.0231,14:58:54.023,neutral,frown,0.03421,neutral,0.0
1749333534.0544,14:58:54.054,neutral,frown,0.03421,neutral,0.0
1749333534.0858,14:58:54.085,neutral,frown,0.03421,neutral,0.0
1749333534.1171,14:58:54.117,neutral,frown,0.03421,neutral,0.0
1749333534.1482,14:58:54.148,neutral,frown,0.034581,neutral,0.0
1749333534.1794,14:58:54.179,neutral,frown,0.034581,neutral,0.0
1749333534.2105,14:58:54.210,neutral,frown,0.034581,neutral,0.0
1749333534.2419,14:58:54.241,blink,frown,0.034581,neutral,0.0
1749333534.273,14:58:54.273,blink,frown,0.106225,neutral,0.0
1749333534.3043,14:58:54.304,blink,frown,0.106225,neutral,0.0
1749333534.3357,14:58:54.335,blink,frown,0.106225,neutral,0.0
1749333534.367,14:58:54.367,blink,frown,0.106225,neutral,0.0
1749333534.3984,14:58:54.398,neutral,frown,0.165487,neutral,0.0
1749333534.4297,14:58:54.429,neutral,frown,0.165487,neutral,0.0
1749333534.4608,14:58:54.460,neutral,frown,0.165487,neutral,0.0
1749333534.4922,14:58:54.492,neutral,frown,0.165487,neutral,0.0
1749333534.5233,14:58:54.523,neutral,frown,0.175232,neutral,0.0
1749333534.5545,14:58:54.554,neutral,frown,0.175232,neutral,0.0
1749333534.5858,14:58:54.585,neutral,frown,0.175232,neutral,0.0
1749333534.6169,14:58:54.616,neutral,frown,0.175232,neutral,0.0
1749333534.6481,14:58:54.648,neutral,frown,0.099534,neutral,0.0
1749333534.6794,14:58:54.679,neutral,frown,0.099534,neutral,0.0
1749333534.7108,14:58:54.710,neutral,frown,0.099534,neutral,0.0
1749333534.7421,14:58:54.742,neutral,frown,0.099534,neutral,0.0
1749333534.7734,14:58:54.773,neutral,frown,0.051043,neutral,0.0
1749333534.8048,14:58:54.804,neutral,frown,0.051043,neutral,0.0
1749333534.8361,14:58:54.836,neutral,frown,0.051043,neutral,0.0
1749333534.8673,14:58:54.867,neutral,frown,0.051043,neutral,0.0
1749333534.8986,14:58:54.898,neutral,frown,0.036295,neutral,0.0
1749333534.9297,14:58:54.929,neutral,frown,0.036295,neutral,0.0
1749333534.9609,14:58:54.960,neutral,frown,0.036295,neutral,0.0
1749333534.992,14:58:54.992,neutral,frown,0.036295,neutral,0.0
1749333535.0232,14:58:55.023,neutral,frown,0.03349,neutral,0.0
1749333535.0545,14:58:55.054,neutral,frown,0.03349,neutral,0.0
1749333535.0858,14:58:55.085,neutral,frown,0.03349,neutral,0.0
1749333535.1172,14:58:55.117,neutral,frown,0.03349,neutral,0.0
1749333535.1485,14:58:55.148,neutral,frown,0.026251,neutral,0.0
1749333535.1797,14:58:55.179,neutral,frown,0.026251,neutral,0.0
1749333535.211,14:58:55.211,neutral,frown,0.026251,neutral,0.0
1749333535.2421,14:58:55.242,neutral,frown,0.026251,neutral,0.0
1749333535.2733,14:58:55.273,neutral,frown,0.020935,neutral,0.0
1749333535.3044,14:58:55.304,neutral,frown,0.020935,neutral,0.0
1749333535.3356,14:58:55.335,neutral,frown,0.020935,neutral,0.0
1749333535.3667,14:58:55.366,neutral,frown,0.020935,neutral,0.0
1749333535.3978,14:58:55.397,neutral,frown,0.030899,neutral,0.0
1749333535.4292,14:58:55.429,neutral,frown,0.030899,neutral,0.0
1749333535.4605,14:58:55.460,neutral,frown,0.030899,neutral,0.0
1749333535.4919,14:58:55.491,neutral,frown,0.030899,neutral,0.0
1749333535.5232,14:58:55.523,neutral,frown,0.035236,neutral,0.0
1749333535.5545,14:58:55.554,neutral,frown,0.035236,neutral,0.0
1749333535.5858,14:58:55.585,neutral,frown,0.035236,neutral,0.0
1749333535.6169,14:58:55.616,neutral,frown,0.035236,neutral,0.0
1749333535.6481,14:58:55.648,neutral,frown,0.029602,neutral,0.0
1749333535.6792,14:58:55.679,neutral,frown,0.029602,neutral,0.0
1749333535.7103,14:58:55.710,neutral,frown,0.029602,neutral,0.0
1749333535.7415,14:58:55.741,neutral,frown,0.029602,neutral,0.0
1749333535.7728,14:58:55.772,neutral,frown,0.038367,neutral,0.0
1749333535.8042,14:58:55.804,neutral,frown,0.038367,neutral,0.0
1749333535.8355,14:58:55.835,neutral,frown,0.038367,neutral,0.0
1749333535.8668,14:58:55.866,neutral,frown,0.038367,neutral,0.0
1749333535.8982,14:58:55.898,neutral,frown,0.085522,neutral,0.0
1749333535.9295,14:58:55.929,neutral,frown,0.085522,neutral,0.0
1749333535.9607,14:58:55.960,neutral,frown,0.085522,neutral,0.0
1749333535.9918,14:58:55.991,neutral,frown,0.085522,neutral,0.0
1749333536.0229,14:58:56.022,neutral,frown,0.149735,neutral,0.0
1749333536.0541,14:58:56.054,neutral,frown,0.149735,neutral,0.0
1749333536.0852,14:58:56.085,neutral,frown,0.149735,neutral,0.0
1749333536.1164,14:58:56.116,neutral,frown,0.149735,neutral,0.0
1749333536.1475,14:58:56.147,neutral,frown,0.117936,neutral,0.0
1749333536.1788,14:58:56.178,neutral,frown,0.117936,neutral,0.0
1749333536.2102,14:58:56.210,neutral,frown,0.117936,neutral,0.0
1749333536.2415,14:58:56.241,neutral,frown,0.117936,neutral,0.0
1749333536.2729,14:58:56.272,neutral,frown,0.156394,neutral,0.0
1749333536.3042,14:58:56.304,neutral,frown,0.156394,neutral,0.0
1749333536.3353,14:58:56.335,neutral,frown,0.156394,neutral,0.0
1749333536.3665,14:58:56.366,neutral,frown,0.156394,neutral,0.0
1749333536.3976,14:58:56.397,neutral,frown,0.175567,neutral,0.0
1749333536.4287,14:58:56.428,neutral,frown,0.175567,neutral,0.0
1749333536.4599,14:58:56.459,neutral,frown,0.175567,neutral,0.0
1749333536.491,14:58:56.491,neutral,frown,0.175567,neutral,0.0
1749333536.5222,14:58:56.522,neutral,frown,0.165177,neutral,0.0
1749333536.5535,14:58:56.553,neutral,frown,0.165177,neutral,0.0
1749333536.5848,14:58:56.584,neutral,frown,0.165177,neutral,0.0
1749333536.6162,14:58:56.616,neutral,frown,0.165177,neutral,0.0
1749333536.6475,14:58:56.647,neutral,frown,0.086909,neutral,0.0
1749333536.6789,14:58:56.678,neutral,frown,0.086909,neutral,0.0
1749333536.7101,14:58:56.710,neutral,frown,0.086909,neutral,0.0
1749333536.7414,14:58:56.741,neutral,frown,0.086909,neutral,0.0
