Timestamp,Local time,Pleasure,Arousal,Dominance
1749333533.8977,14:58:53.897,0.97,0.23,-0.11
1749333534.3984,14:58:54.398,0.96,0.24,-0.13
1749333534.8986,14:58:54.898,0.96,0.24,-0.15
1749333535.3978,14:58:55.397,0.96,0.24,-0.15
1749333535.8982,14:58:55.898,0.96,0.25,-0.15
1749333536.3976,14:58:56.397,0.96,0.26,-0.14
1749333536.8973,14:58:56.897,0.95,0.26,-0.15
1749333537.398,14:58:57.398,0.95,0.27,-0.14
1749333537.8978,14:58:57.897,0.95,0.28,-0.13
1749333538.3974,14:58:58.397,0.96,0.27,-0.11
1749333538.8973,14:58:58.897,0.96,0.26,-0.10
1749333539.3973,14:58:59.397,0.97,0.24,-0.08
1749333539.8972,14:58:59.897,0.98,0.18,0.00
1749333540.3978,14:59:00.397,0.99,0.12,0.07
1749333540.8972,14:59:00.897,0.99,0.05,0.14
1749333541.3963,14:59:01.396,0.99,0.04,0.15
1749333541.8965,14:59:01.896,0.99,0.03,0.15
1749333542.3959,14:59:02.395,0.99,0.05,0.12
1749333542.8954,14:59:02.895,0.99,0.05,0.13
1749333543.3954,14:59:03.395,0.99,0.04,0.12
1749333543.895,14:59:03.895,0.99,0.06,0.09
1749333544.3943,14:59:04.394,0.99,0.10,0.06
1749333544.8941,14:59:04.894,0.99,0.13,0.02
1749333545.3944,14:59:05.394,0.99,0.13,0.02
1749333545.8939,14:59:05.893,0.99,0.13,0.03
1749333546.3935,14:59:06.393,0.99,0.14,0.04
1749333546.8935,14:59:06.893,0.99,0.13,0.05
1749333547.393,14:59:07.393,0.99,0.13,0.07
1749333547.8928,14:59:07.892,0.99,0.13,0.08
1749333548.393,14:59:08.393,0.99,0.14,0.06
1749333548.8929,14:59:08.892,0.99,0.15,0.07
1749333549.3925,14:59:09.392,0.99,0.16,0.05
1749333549.8925,14:59:09.892,0.98,0.18,0.03
1749333550.392,14:59:10.392,0.98,0.18,0.02
1749333550.8914,14:59:10.891,0.98,0.19,0.00
1749333551.3916,14:59:11.391,0.98,0.19,0.00
1749333551.8917,14:59:11.891,0.99,0.17,0.03
1749333552.3911,14:59:12.391,0.99,0.14,0.06
1749333552.8913,14:59:12.891,0.99,0.14,0.07
1749333553.3914,14:59:13.391,0.99,0.14,0.08
1749333553.8908,14:59:13.890,0.99,0.14,0.10
1749333554.3907,14:59:14.390,0.99,0.13,0.11
1749333554.891,14:59:14.891,0.99,0.13,0.10
1749333555.3903,14:59:15.390,0.99,0.15,0.08
1749333555.8905,14:59:15.890,0.99,0.15,0.06
1749333556.3908,14:59:16.390,0.98,0.18,0.03
1749333556.8904,14:59:16.890,0.98,0.19,0.01
1749333557.3906,14:59:17.390,0.99,0.15,0.03
1749333557.8907,14:59:17.890,0.99,0.15,0.04
1749333558.3901,14:59:18.390,0.98,0.18,0.02
1749333558.8898,14:59:18.889,0.98,0.19,0.00
1749333559.3898,14:59:19.389,0.98,0.19,0.00
